"","Name","Adjusted","r","r.low","r.hi","k","k.low","k.hi","f","f_lo","f_hi","b","b_lo","b_hi","m.rate","msy","msy.low","msy.hi","bmsy","bmsy.low","bmsy.hi","fmsy","fmsy_lo","fmsy_hi","p.lo","p.hi","p","c","c.lo","c.hi","profit.msy","profit.msy.lo","profit.msy.hi"
"1","Atrina","MT",0.282239296,0.163449697,0.487361077,24427.49352,6525.803016,91437.39681,0.029896662,0.022868784,0.038576615,12751.52371,9882.359997,16670.23518,0.0199,1723.599645,378.3151102,7852.701768,12213.74676,3262.901508,45718.6984,0.141119648,0.081724848,0.243680538,22500,25000,23750,43511472.8695504,15623320.4510009,120845233.728011,28654844.098125,5958462.98565,137422280.94
"2","Atrina","MT_20",0.282239296,0.163449697,0.487361077,30806.00919,8164.593251,116234.8415,0.02796906,0.021443831,0.036582184,16356.41648,12505.36604,21333.57609,0.0199,2173.666588,469.7173243,10058.87199,15403.0046,4082.296626,58117.42074,0.141119648,0.081724848,0.243680538,22500,25000,23750,54873203.905313,19397967.6757981,154795989.021914,36137207.0255,7398047.857725,176030259.825
"3","Atrina","MT_40",0.282239296,0.163449697,0.487361077,36380.44516,9616.494714,137631.9365,0.027447822,0.021019657,0.036252298,19444.86539,14722.355,25391.4319,0.0199,2566.997809,551.8416939,11940.88418,18190.22258,4808.247357,68815.96827,0.141119648,0.081724848,0.243680538,22500,25000,23750,64802667.9783279,22789466.7423275,183758276.104597,42676338.574625,8691506.678925,208965473.15
"4","Atrina","MT_60",0.282239296,0.163449697,0.487361077,40719.11707,10798.63601,153542.2154,0.028189454,0.021557243,0.036980106,21638.04951,16494.40382,28295.12114,0.0199,2873.133735,621.6293432,13279.4527,20359.55854,5399.318003,76771.10768,0.141119648,0.081724848,0.243680538,22500,25000,23750,72530927.3088429,25671494.9223797,204357508.11918,47765848.344375,9790662.1554,232390422.25
"5","Callinectes","MT",1.191246217,0.957432554,1.482159284,6395.657395,4562.390422,8965.570618,0.438962043,0.316230039,4.7685027,1814.644371,167.0461464,2518.925784,0.459150262,1904.700669,1507.647841,2406.320985,3197.828698,2281.195211,4482.785309,0.595623108,0.478716277,0.741079642,1500,2000,1750,839430.032981167,708605.035013255,974114.325353442,2333258.319525,1583030.23305,3368849.379
"6","Callinectes","MT_20",1.194228058,0.962111433,1.482344565,7556.459087,5450.349295,10476.40635,0.44728821,0.320456042,4.342203846,2137.038218,220.1352203,2982.849045,0.459150262,2256.033865,1816.363178,2802.131678,3778.229544,2725.174647,5238.203173,0.597114029,0.481055717,0.741172283,1500,2000,1750,991785.255078138,849551.727653152,1134202.56430056,2763641.484625,1907181.3369,3922984.3492
"7","Callinectes","MT_40",1.191246217,0.957432554,1.482159284,9050.815475,6403.431596,12792.71271,0.426888962,0.312030887,5.878288067,2612.351454,189.7123767,3573.953881,0.459150262,2695.437423,2099.333005,3460.805353,4525.407737,3201.715798,6396.356355,0.595623108,0.478716277,0.741079642,1500,2000,1750,1187919.53072368,986701.202401355,1400985.19384236,3301910.843175,2204299.65525,4845127.4942
"8","Callinectes","MT_60",1.191246217,0.957432554,1.482159284,10246.30925,7210.436134,14560.40262,0.444578638,0.316347164,4.004594204,2866.750426,318.258464,4028.789084,0.459150262,3051.469281,2351.756453,3959.366098,5123.154623,3605.218067,7280.201309,0.595623108,0.478716277,0.741079642,1500,2000,1750,1344828.08815081,1105341.98929066,1602809.95736758,3738049.869225,2469344.27565,5543112.5372
"9","Cephalopholis","MT",0.561299864,0.401368629,0.784958052,1133.846781,706.155949,1820.573097,0.447449543,0.352311132,0.502352401,513.4598385,457.3430314,652.1149886,0.087442719,159.1070109,119.0070691,212.7187999,566.9233906,353.0779745,910.2865485,0.280649932,0.200684314,0.392479026,1000,1500,1250,106298.135656594,88950.9497016519,121947.2298056,139218.6345375,83304.94837,223354.739895
"10","Cephalopholis","MT_20",0.565525439,0.407485471,0.784859938,1365.059617,856.4499555,2175.711198,0.444103391,0.35021103,0.50145596,620.7942778,549.7927359,787.2306137,0.087442719,192.9939847,147.1393844,253.1387385,682.5298086,428.2249778,1087.855599,0.282762719,0.203742736,0.392429969,1000,1500,1250,127974.339033226,108327.335479404,145137.274575735,168869.7366125,102997.56908,265795.675425
"11","Cephalopholis","MT_40",0.561299864,0.401368629,0.784958052,1574.13847,982.9276588,2520.950447,0.458970128,0.355460481,0.509204252,700.8001139,631.6646353,904.8722308,0.087442719,220.8909271,166.0660177,293.8156906,787.0692348,491.4638294,1260.475224,0.280649932,0.200684314,0.392479026,1000,1500,1250,147575.481440879,124124.811234313,168438.377608999,193279.5612125,116246.21239,308506.47513
"12","Cephalopholis","MT_60",0.565525439,0.407485471,0.784859938,1840.767527,1141.092561,2969.45682,0.436228489,0.329041947,0.49729994,842.6680088,739.1832624,1117.17,0.087442719,260.2502158,193.7887284,349.5052337,920.3837634,570.5462806,1484.72841,0.282762719,0.203742736,0.392429969,1000,1500,1250,172571.955556185,142671.635328073,200389.072687005,227718.938825,135652.10988,366980.495385
"13","Dasyatis","MT",0.282239296,0.163449697,0.487361077,2179.55281,839.5433018,5658.374551,0.184871276,0.115473772,2.47461739,536.5987732,40.0876921,859.0842572,0.262842713,153.7888628,69.15548851,341.9976465,1089.776405,419.7716509,2829.187275,0.138972783,0.080481562,0.239973406,1250,1250,1250,204333.076107163,158662.320378911,263150.102644533,134565.25495,60511.05244625,299247.9406875
"14","Dasyatis","MT_20",0.282239296,0.163449697,0.487361077,2617.503815,1013.240881,6761.794108,0.184592651,0.115525981,2.395406085,644.8904631,49.69597463,1030.435223,0.262842713,184.6906086,83.86098239,406.7519833,1308.751908,506.6204407,3380.897054,0.139074052,0.080540208,0.240148273,1250,1250,1250,245390.982781505,192400.897483768,312975.329659943,161604.282525,73378.35959125,355907.9853875
"15","Dasyatis","MT_40",0.282239296,0.163449697,0.487361077,3038.427673,1167.772654,7905.684975,0.192451516,0.116008277,2.488487493,721.6486668,55.809957,1197.17647,0.262842713,214.390922,95.98739364,478.8489996,1519.213837,583.8863269,3952.842488,0.13406777,0.077640983,0.231503599,1250,1250,1250,284852.59455154,220222.326964607,368450.381707442,187592.05675,83988.969435,418992.87465
"16","Dasyatis","MT_60",0.282239296,0.163449697,0.487361077,3465.711864,1321.176317,9091.261003,0.190728811,0.116729235,2.337936821,832.1905799,67.89008094,1359.751222,0.262842713,244.5400193,107.7499928,554.9867752,1732.855932,660.5881583,4545.630501,0.135543226,0.078495445,0.234051365,1250,1250,1250,324910.487437936,247209.068243179,427034.596158363,213972.5168875,94281.2437,485613.4283
"17","Epinephelus","MT",0.062038507,0.039696193,0.096955807,25301.96019,4836.329993,132370.866,0.026277313,0.022012025,0.032283014,16119.56166,13120.79355,19243.0622,0.250328157,392.423961,36.75302039,4190.038356,12650.98009,2418.164996,66185.433,0.031019254,0.019848096,0.048477904,2500,2500,2500,4744117.564757,694393.169957129,32411970.6104865,686741.93175,64317.7856825,7332567.123
"18","Epinephelus","MT_20",0.062038507,0.039696193,0.096955807,31068.99277,5908.619693,163368.4958,0.025605519,0.02146503,0.031442121,19850.97472,16166.03778,23680.12125,0.250328157,481.8684843,44.68362193,5196.473028,15534.49639,2954.309847,81684.24792,0.031019254,0.019848096,0.048477904,2500,2500,2500,5825436.17990356,844229.985668903,40197228.9395724,843269.847525,78196.3383775,9093827.799
"19","Epinephelus","MT_40",0.062038507,0.039696193,0.096955807,36551.51895,7007.578052,190652.6803,0.025374783,0.021249554,0.031122486,23370.06232,19054.07737,27906.95054,0.250328157,566.9004195,53.40645843,6017.550969,18275.75948,3503.789026,95326.34013,0.031019254,0.019848096,0.048477904,2500,2500,2500,6853409.84471145,1009034.89214948,46548663.4209542,992075.734125,93461.3022525,10530714.19575
"20","Epinephelus","MT_60",0.062038507,0.039696193,0.096955807,40965.99722,7885.354207,212826.575,0.025911041,0.021721466,0.031843928,26155.87706,21282.73948,31200.74969,0.250328157,635.3673302,60.32714831,6691.707724,20482.99861,3942.677103,106413.2875,0.031019254,0.019848096,0.048477904,2500,2500,2500,7681124.52561117,1139790.94248408,51763591.5608438,1111892.82785,105572.5095425,11710488.517
"21","Lutjanus","MT",0.282239296,0.163449697,0.487361077,1240.837593,402.2709952,3827.464445,0.078344097,0.055310333,0.155708331,518.5641493,260.9137213,734.5180826,0.122491106,87.55328219,28.08181813,272.9729673,620.4187963,201.1354976,1913.732222,0.141119648,0.081724848,0.243680538,2250,2500,2375,221024.196291841,115969.791230326,420078.121000623,145557.331640875,44228.86355475,477702.692775
"22","Lutjanus","MT_20",0.282239296,0.163449697,0.487361077,1469.219105,475.0846858,4543.62105,0.080794673,0.056068101,0.15677244,603.4027501,310.9712913,869.509168,0.122491106,103.6678415,33.08285588,324.8516816,734.6095525,237.5423429,2271.810525,0.141119648,0.081724848,0.243680538,2250,2500,2375,261704.653163357,136622.631481538,499914.278546294,172347.78649375,52105.498011,568490.4428
"23","Lutjanus","MT_40",0.282239296,0.163449697,0.487361077,1700.961905,565.9828802,5111.941551,0.081102725,0.056541366,0.158478983,701.2959919,358.8931167,1005.936369,0.122491106,120.0195727,40.51002678,355.5835179,850.4809525,282.9914401,2555.970775,0.141119648,0.081724848,0.243680538,2250,2500,2375,302983.839460647,167294.700316881,547207.503862685,199532.53961375,63803.2921785,622271.156325
"24","Lutjanus","MT_60",0.282239296,0.163449697,0.487361077,1927.033385,631.1378145,5883.750874,0.081423848,0.057072821,0.160614164,798.3202201,404.7109076,1138.936238,0.122491106,135.9711366,44.492278,415.5361517,963.5166926,315.5689072,2941.875437,0.141119648,0.081724848,0.243680538,2250,2500,2375,343252.82198656,183740.2467011,639468.616766455,226052.0145975,70075.33785,727188.265475
"25","Micropogonias","MT",0.565525439,0.407485471,0.784859938,1028.297105,543.2403602,1946.45872,0.325689235,0.227672353,0.617218269,423.0465276,223.2301066,605.1753686,1,145.3820429,79.12780044,267.1114105,514.1485525,271.6201801,973.2293599,0.282762719,0.203742736,0.392429969,750,750,750,57841.7121435628,43691.7543472366,76574.2579697067,76325.5725225,41542.095231,140233.4905125
"26","Micropogonias","MT_20",0.565525439,0.407485471,0.784859938,1249.360535,655.6321697,2380.758326,0.322031482,0.224900315,0.604443866,513.421977,273.5374602,735.1614422,1,176.6362912,94.88824488,328.8118502,624.6802675,327.8160848,1190.379163,0.282762719,0.203742736,0.392429969,750,750,750,70276.5300713555,52394.1505094792,94262.2533181201,92734.05288,49816.328562,172626.221355
"27","Micropogonias","MT_40",0.565525439,0.407485471,0.784859938,1430.402697,760.6753428,2689.783357,0.323916451,0.229392552,0.622699181,595.5065861,309.7713726,840.8920779,1,202.2322782,111.5037062,366.7850672,715.2013487,380.3376714,1344.891678,0.282762719,0.203742736,0.392429969,750,750,750,80460.1516696758,61568.6587142146,105148.238716702,106171.946055,58539.445755,192562.16028
"28","Micropogonias","MT_60",0.565525439,0.407485471,0.784859938,1653.147593,874.4332864,3125.33501,0.324776468,0.227179873,0.618535307,678.7767649,356.4076579,970.379623,1,233.7242544,127.5215895,428.3747349,826.5737965,437.2166432,1562.667505,0.282762719,0.203742736,0.392429969,750,750,750,92989.5520402929,70413.2041004721,122804.478462882,122705.23356,66948.8344875,224896.7358225
"29","Mugil","MT",0.565525439,0.407485471,0.784859938,2812.149899,1426.383789,5544.221069,0.306123069,0.203937179,3.842854152,741.7735637,59.08993447,1113.450727,0.534863273,397.5855763,199.8043739,791.1452957,1406.074949,713.1918943,2772.110534,0.282762719,0.203742736,0.392429969,600,1000,750,158183.431722689,88260.2935847988,302402.476185503,208732.4275575,83917.837038,553801.70699
"30","Mugil","MT_20",0.565525439,0.407485471,0.784859938,3405.630433,1729.753344,6705.186429,0.301489879,0.202653563,3.632938755,903.8074537,75.00506295,1344.604043,0.534863273,481.4926611,242.6151738,955.5675316,1702.815216,864.8766718,3352.593214,0.282762719,0.203742736,0.392429969,600,1000,750,191566.711727534,107171.259816525,365250.212936719,252783.6470775,101898.372996,668897.27212
"31","Mugil","MT_40",0.565525439,0.407485471,0.784859938,3993.37497,2000.593984,7971.154456,0.299041982,0.201695213,3.562366622,1063.073479,89.23943931,1576.15838,0.534863273,564.588783,276.9259519,1151.067611,1996.687485,1000.296992,3985.577228,0.282762719,0.203742736,0.392429969,600,1000,750,224627.341962949,122327.481320187,439976.952040582,296409.111075,116308.899798,805747.3277
"32","Mugil","MT_60",0.565525439,0.407485471,0.784859938,4513.869064,2279.740483,8937.426906,0.296915013,0.203888801,3.571729792,1223.644423,101.7205727,1781.943873,0.534863273,638.1769457,318.0291977,1280.605105,2256.934532,1139.870241,4468.713453,0.282762719,0.203742736,0.392429969,600,1000,750,253905.134729934,140484.163632916,489490.561180866,335042.8964925,133572.263034,896423.5735
"33","Octopus","MT",0.565525439,0.407485471,0.784859938,4826.443309,2907.033384,8013.170794,0.21532076,0.16868877,0.469930006,2253.313796,1032.462778,2876.215408,0.110782429,682.3691174,480.2401908,969.5723541,2413.221654,1453.516692,4006.585397,0.282762719,0.203742736,0.392429969,5000,6000,5500,1990907.86384589,1767818.33333145,2223619.97712259,2627121.10199,1680840.6678,4072203.88722
"34","Octopus","MT_20",0.565525439,0.407485471,0.784859938,5808.195571,3517.203789,9591.464643,0.212913155,0.168150965,0.468926344,2734.552906,1241.607121,3462.497451,0.110782429,821.1705871,584.0448082,1154.570888,2904.097785,1758.601895,4795.732321,0.282762719,0.203742736,0.392429969,5000,6000,5500,2395880.67180652,2149934.84344378,2647896.13761634,3161506.760335,2044156.8287,4849197.7296
"35","Octopus","MT_40",0.565525439,0.407485471,0.784859938,6864.308952,4131.557841,11404.59343,0.203353358,0.165895032,0.459414458,3340.290734,1478.532782,4094.512825,0.110782429,970.4853328,682.0697011,1380.858554,3432.154476,2065.77892,5702.296713,0.282762719,0.203742736,0.392429969,5000,6000,5500,2831527.44101402,2510775.53547915,3166864.9103606,3736368.53128,2387243.95385,5799605.9268
"36","Octopus","MT_60",0.565525439,0.407485471,0.784859938,7666.386094,4609.175447,12751.4078,0.215208753,0.169808909,0.475495207,3607.178492,1632.606117,4571.588091,0.110782429,1083.88409,760.1041021,1545.583976,3833.193047,2304.587724,6375.703899,0.282762719,0.203742736,0.392429969,5000,6000,5500,3162384.26278822,2798028.97107465,3544646.65872652,4172953.7465,2660364.35735,6491452.6992
"37","Panulirus","MT",0.282239296,0.163449697,0.487361077,385.8267414,131.7400215,1129.970017,0.099943247,0.065666128,0.17799953,144.2818838,81.0114497,219.5957101,0.062245553,27.22386698,9.665960032,76.67514982,192.9133707,65.87001077,564.9850087,0.141119648,0.081724848,0.243680538,10000,10000,10000,289370.056180979,177411.647915138,471981.576526268,190567.06886,67661.720224,536726.04874
"38","Panulirus","MT_20",0.282239296,0.163449697,0.487361077,471.8161986,160.6547238,1385.645687,0.097302768,0.063924533,0.174561242,177.8366672,99.12853416,270.6941943,0.062245553,33.29126795,11.7561252,94.27498453,235.9080993,80.32736192,692.8228437,0.141119648,0.081724848,0.243680538,10000,10000,10000,353862.149124692,215775.105413625,580319.124643596,233038.87565,82292.8764,659924.89171
"39","Panulirus","MT_40",0.282239296,0.163449697,0.487361077,551.3782875,186.4820467,1630.280347,0.097830965,0.064129894,0.175316562,206.3559324,115.1516994,314.7985877,0.062245553,38.90515494,13.55787968,111.6406928,275.6891437,93.24102336,815.1401737,0.141119648,0.081724848,0.243680538,10000,10000,10000,413533.715801219,248844.995044561,687215.483972677,272336.08458,94905.15776,781484.8496
"40","Panulirus","MT_60",0.282239296,0.163449697,0.487361077,614.0478231,207.0978458,1820.659832,0.101275023,0.066577939,0.177871428,227.8153023,129.7116701,346.5412149,0.062245553,43.32710635,15.01636816,125.0127943,307.0239115,103.5489229,910.3299159,0.141119648,0.081724848,0.243680538,10000,10000,10000,460535.867585214,275614.487556988,769528.796202984,303289.74445,105114.57712,875089.5601
"41","Scomberomorus","MT",0.565525439,0.407485471,0.784859938,29056.19433,14296.49086,59053.82219,0.367463565,0.199721856,5.019705204,6346.022352,464.5555675,11675.89791,1,4108.004262,1944.997859,8676.461483,14528.09717,7148.245429,29526.91109,0.241785709,0.174217032,0.335560354,1000,1250,1125,2451616.3956773,1431951.31906924,4145546.10140517,3235053.356325,1361498.5013,7591903.797625
"42","Scomberomorus","MT_20",0.565525439,0.407485471,0.784859938,35905.86113,17517.22115,73597.9099,0.346728355,0.193953824,4.774686291,8070.636167,586.0737711,14427.75572,1,5076.419467,2363.805126,10901.92855,17952.93057,8758.610573,36798.95495,0.24900172,0.17941648,0.345575037,1000,1250,1125,3029557.03131951,1740286.680798,5208857.03080694,3997680.3302625,1654663.5882,9539187.48125
"43","Scomberomorus","MT_40",0.565525439,0.407485471,0.784859938,42808.3362,20788.07258,88154.09131,0.341987013,0.196345582,4.724363378,9546.282977,691.0359214,16627.34028,1,6052.300777,2792.719074,13116.37287,21404.1681,10394.03629,44077.04566,0.255549892,0.18413472,0.354662866,1000,1250,1125,3611953.36473184,2056062.80916946,6266901.37705818,4766186.8618875,1954903.3518,11476826.26125
"44","Scomberomorus","MT_60",0.565525439,0.407485471,0.784859938,47164.17941,22966.70827,96855.83989,0.365984498,0.201836904,4.650303695,10194.67004,802.3328033,18485.67396,1,6668.135813,3093.601378,14372.90387,23582.08971,11483.35414,48427.91995,0.246399211,0.17754126,0.341963166,1000,1250,1125,3979477.63564266,2277579.151773,6867262.15760805,5251156.9527375,2165520.9646,12576290.88625
"45","Sphoeroides","MT",0.552943197,0.389409029,0.785154316,431.7924462,206.210468,904.1476819,0.114468608,0.06011299,0.45901063,22.27684992,5.555426899,42.42011603,0.047315725,59.68917395,26.28615028,135.5389606,215.8962231,103.105234,452.0738409,0.057054415,0.040180446,0.081014687,3000,3000,3000,97153.300459179,60752.4055432212,155364.444994021,125347.265295,55200.915588,284631.81726
"46","Sphoeroides","MT_20",0.544710946,0.385437973,0.769799644,518.9856001,249.6760105,1078.782269,0.110307621,0.061649915,0.45853479,27.74060377,6.673430385,49.63510504,0.047315725,70.67428425,31.28194898,159.672099,259.4928,124.8380053,539.3911343,0.058231329,0.041204542,0.082294025,3000,3000,3000,116771.759943667,73043.5402170403,186678.300282508,148415.996925,65692.092858,335311.4079
"47","Sphoeroides","MT_40",0.552943197,0.393322655,0.7773419,600.7686059,287.6970614,1254.524172,0.116302203,0.060937118,0.486284395,30.69589324,7.341383017,58.58498246,0.047315725,83.04772845,36.77024571,187.5681021,300.3843029,143.8485307,627.2620862,0.056504568,0.040193146,0.079435589,3000,3000,3000,135172.936407426,84137.5921735299,217164.79182455,174400.229745,77217.515991,393893.01441
"48","Sphoeroides","MT_60",0.557105862,0.395343607,0.785056178,681.8319067,323.1668433,1438.559551,0.117741719,0.062176163,0.546600841,34.6521184,7.464313437,65.62000277,0.047315725,94.96313799,41.39683898,217.8426614,340.9159533,161.5834217,719.2797754,0.056626562,0.040184372,0.079796382,3000,3000,3000,153412.178942393,94239.9331172187,249738.04519248,199422.589779,86933.361858,457469.58894
"49","Squatina","MT",0.062038507,0.039696193,0.096955807,4186.823809,1384.761102,12658.8576,0.028614173,0.017046827,0.238717847,491.9625009,58.96961695,825.7900322,0.806838978,64.93607494,17.81374542,236.7101207,2093.411905,692.3805512,6329.428801,0.014579366,0.009328808,0.02278511,1250,1250,1250,392514.734477733,168281.994510154,915533.561207943,56819.0655725,15587.0272425,207121.3556125
"50","Squatina","MT_20",0.062038507,0.039696193,0.096955807,4983.476088,1657.681599,14981.78778,0.029006826,0.017184071,0.245361293,582.3636215,68.84753406,983.0336359,0.806838978,77.2918545,21.4417845,278.6163051,2491.738044,828.8407995,7490.893888,0.014499506,0.009277708,0.022660301,1250,1250,1250,467200.886015842,202555.171663439,1077615.85041007,67630.3726875,18761.5614375,243789.2669625
"51","Squatina","MT_40",0.062038507,0.039696193,0.096955807,5852.240233,1955.284934,17515.9718,0.028756286,0.017047996,0.240831415,685.3437236,81.83292851,1156.026782,0.806838978,90.76606222,25.39874558,324.365549,2926.120117,977.6424668,8757.985898,0.014530402,0.009297478,0.022708587,1250,1250,1250,548647.525197536,239935.592627233,1254562.10039075,79420.3044425,22223.9023825,283819.855375
"52","Squatina","MT_60",0.062038507,0.039696193,0.096955807,6667.075052,2202.734121,20179.41672,0.02880735,0.017102811,0.240083762,781.8615793,93.81459109,1316.939085,0.806838978,103.4038462,28.30724258,377.7250778,3333.537526,1101.36706,10089.70836,0.014550766,0.009310508,0.022740413,1250,1250,1250,625038.289928544,267411.435839704,1460942.96523157,90478.365425,24768.8372575,330509.443075
